Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.300036,0.597333,1.99087,0.0318451,1.3737,43.1369,,,Column 1,,,Column 1
4,0.2676,0.325258,1.21546,0.23812,0.723302,3.03755,,Mean,13.6281157142857,,Mean,8.709985
7,0.260853,0.318731,1.22188,0.186535,0.723302,3.87758,,Standard Error,5.28517897726312,,Standard Error,2.28979255358755
8,0.172362,0.31534,1.82952,0.0925345,1.27686,13.7988,,Mode,3.87758,,Mode,3.87758
9,0.241447,0.315137,1.3052,0.0925345,1.27686,13.7988,,Median,13.7988,,Median,8.83819
10,0.272312,0.303929,1.1161,0.186535,0.723302,3.87758,,First Quartile ,3.87758,,First Quartile ,3.87758
11,0.180677,0.305218,1.6893,0.0925345,1.28342,13.8696,,Third Quartile,13.8342,,Third Quartile,13.7988
,,,,,,,,Variance,195.531817751929,,Variance,31.45889963079
,,,,,,,,Standard Deviation,13.9832692083049,,Standard Deviation,5.60882337311401
,,,,,,,,Kurtosis,4.22922169339321,,Kurtosis,-3.2963405805385
,,,,,,,,Skewness,1.93323872836078,,Skewness,-0.012404062796971
,,,,,,,,Range,40.09935,,Range,10.83205
,,,,,,,,Minimum,3.03755,,Minimum,3.03755
,,,,,,,,Maximum,43.1369,,Maximum,13.8696
,,,,,,,,Sum,95.39681,,Sum,52.25991
,,,,,,,,Count,7,,Count,6
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,1.48119,,Mean,1.39624333333333
,,,,,,,,Standard Error,0.131523541311233,,Standard Error,0.118808703543881
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.3052,,Median,1.26354
,,,,,,,,First Quartile ,1.21867,,First Quartile ,1.217065
,,,,,,,,Third Quartile,1.75941,,Third Quartile,1.593275
,,,,,,,,Variance,0.121089093433333,,Variance,0.084693048226667
,,,,,,,,Standard Deviation,0.347978581860053,,Standard Deviation,0.291020700684104
,,,,,,,,Kurtosis,-1.82539723766401,,Kurtosis,-1.28873814514444
,,,,,,,,Skewness,0.517013157013255,,Skewness,0.883137059439386
,,,,,,,,Range,0.87477,,Range,0.71342
,,,,,,,,Minimum,1.1161,,Minimum,1.1161
,,,,,,,,Maximum,1.99087,,Maximum,1.82952
,,,,,,,,Sum,10.36833,,Sum,8.37746
,,,,,,,,Count,7,,Count,6
