Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.219357,0.640925,2.92183,0.0146719,1.40535,95.7857,,,Column 1,,,Column 1
2,0.317508,0.375585,1.18292,0.0947828,1.24454,13.1305,,Mean,21.7588454545455,,Mean,14.35616
8,0.300707,0.376945,1.25353,0.086024,1.24454,14.4674,,Standard Error,7.43447108859514,,Standard Error,0.759216899940693
9,0.325965,0.375699,1.15258,0.0947828,1.24454,13.1305,,Mode,13.1305,,Mode,13.1305
10,0.32017,0.359069,1.12149,0.0947828,1.24454,13.1305,,Median,13.1305,,Median,13.1305
13,0.274094,0.350321,1.27811,0.0947828,1.24454,13.1305,,First Quartile ,13.1305,,First Quartile ,13.1305
15,0.21071,0.335446,1.59198,0.0617043,1.28791,20.8723,,Third Quartile,14.71945,,Third Quartile,14.4674
16,0.26393,0.330035,1.25046,0.0947828,1.24454,13.1305,,Variance,607.984964038727,,Variance,5.76410301155556
17,0.0430326,0.309713,7.19716,0.086024,1.24454,14.4674,,Standard Deviation,24.6573511156151,,Standard Deviation,2.40085464190474
18,0.0614234,0.214238,3.48789,0.086024,1.28791,14.9715,,Kurtosis,10.7477382548187,,Kurtosis,7.59356606935961
19,0.192177,0.211791,1.10206,0.0947828,1.24454,13.1305,,Skewness,3.26704106328458,,Skewness,2.66826939910794
,,,,,,,,Range,82.6552,,Range,7.7418
,,,,,,,,Minimum,13.1305,,Minimum,13.1305
,,,,,,,,Maximum,95.7857,,Maximum,20.8723
,,,,,,,,Sum,239.3473,,Sum,143.5616
,,,,,,,,Count,11,,Count,10
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,2.14000090909091,,Mean,2.061818
,,,,,,,,Standard Error,0.56107774601525,,Standard Error,0.61424319901232
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.25353,,Median,1.251995
,,,,,,,,First Quartile ,1.16775,,First Quartile ,1.160165
,,,,,,,,Third Quartile,2.256905,,Third Quartile,1.5135125
,,,,,,,,Variance,3.46289060780909,,Variance,3.77294707532889
,,,,,,,,Standard Deviation,1.86088436175091,,Standard Deviation,1.94240754614702
,,,,,,,,Kurtosis,5.97967471282243,,Kurtosis,6.45143945942634
,,,,,,,,Skewness,2.39062768010965,,Skewness,2.53069919256267
,,,,,,,,Range,6.0951,,Range,6.0951
,,,,,,,,Minimum,1.10206,,Minimum,1.10206
,,,,,,,,Maximum,7.19716,,Maximum,7.19716
,,,,,,,,Sum,23.54001,,Sum,20.61818
,,,,,,,,Count,11,,Count,10
