Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.213721,0.754156,3.5287,0.0256257,1.40859,54.9679,,,Column 1,,,Column 1
4,0.283698,0.332908,1.17346,0.0326298,1.20144,36.8203,,Mean,38.1470111111111,,Mean,36.0444
6,0.255776,0.303964,1.1884,0.0326298,1.20144,36.8203,,Standard Error,3.12027872933406,,Standard Error,2.61415085304961
9,0.247928,0.293155,1.18242,0.0326298,1.20739,37.0028,,Mode,36.8203,,Mode,36.8203
10,0.189387,0.234796,1.23976,0.0326298,1.21479,37.2296,,Median,37.0028,,Median,36.91155
11,0.0578856,0.240124,4.14825,0.0326298,1.38438,42.4269,,First Quartile ,36.8203,,First Quartile ,36.8203
13,0.211589,0.235428,1.11267,0.0326298,0.613704,18.8081,,Third Quartile,42.4269,,Third Quartile,38.528925
14,0.0499685,0.212211,4.24691,0.0326298,1.38438,42.4269,,Variance,87.6252541386111,,Variance,54.67027746
15,0.145057,0.210652,1.45219,0.0326298,1.20144,36.8203,,Standard Deviation,9.36083618800218,,Standard Deviation,7.39393518094391
,,,,,,,,Kurtosis,3.12466486411728,,Kurtosis,5.60597494870606
,,,,,,,,Skewness,-0.455697850218061,,Skewness,-2.16604868759146
,,,,,,,,Range,36.1598,,Range,23.6188
,,,,,,,,Minimum,18.8081,,Minimum,18.8081
,,,,,,,,Maximum,54.9679,,Maximum,42.4269
,,,,,,,,Sum,343.3231,,Sum,288.3552
,,,,,,,,Count,9,,Count,8
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,2.14141777777778,,Mean,1.9680075
,,,,,,,,Standard Error,0.463923942825934,,Standard Error,0.487909345003725
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.23976,,Median,1.21408
,,,,,,,,First Quartile ,1.18242,,First Quartile ,1.18018
,,,,,,,,Third Quartile,3.5287,,Third Quartile,2.126205
,,,,,,,,Variance,1.93702882254444,,Variance,1.90444423153571
,,,,,,,,Standard Deviation,1.3917718284778,,Standard Deviation,1.38001602582568
,,,,,,,,Kurtosis,-1.42094588136048,,Kurtosis,-0.021903827902873
,,,,,,,,Skewness,0.911047390088821,,Skewness,1.41974502043808
,,,,,,,,Range,3.13424,,Range,3.13424
,,,,,,,,Minimum,1.11267,,Minimum,1.11267
,,,,,,,,Maximum,4.24691,,Maximum,4.24691
,,,,,,,,Sum,19.27276,,Sum,15.74406
,,,,,,,,Count,9,,Count,8
