Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.268862,0.529525,1.9695,0.0277734,1.32918,47.8579,,,Column 1,,,Column 1
3,0.220147,0.283782,1.28906,0.116808,0.990586,8.4805,,Mean,22.5734857142857,,Mean,18.3594166666667
5,0.178905,0.285788,1.59743,0.0463776,1.13797,24.537,,Standard Error,6.50235539646902,,Standard Error,5.85927869873455
7,0.245732,0.285397,1.16142,0.116808,1.07495,9.20275,,Mode,#VALUE!,,Mode,#VALUE!
9,0.165044,0.284422,1.72331,0.0798406,1.13797,14.253,,Median,14.253,,Median,11.727875
10,0.145204,0.274528,1.89063,0.0283804,1.27324,44.8635,,First Quartile ,9.01125,,First Quartile ,8.9155
11,0.19109,0.27344,1.43095,0.116808,1.03021,8.81975,,Third Quartile,34.70025,,Third Quartile,21.966
,,,,,,,,Variance,295.964379913929,,Variance,205.986881216667
,,,,,,,,Standard Deviation,17.2036153152158,,Standard Deviation,14.3522430726582
,,,,,,,,Kurtosis,-1.31078058038383,,Kurtosis,2.32931048557974
,,,,,,,,Skewness,0.865180465221413,,Skewness,1.64235593282981
,,,,,,,,Range,39.3774,,Range,36.383
,,,,,,,,Minimum,8.4805,,Minimum,8.4805
,,,,,,,,Maximum,47.8579,,Maximum,44.8635
,,,,,,,,Sum,158.0144,,Sum,110.1565
,,,,,,,,Count,7,,Count,6
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,1.58032857142857,,Mean,1.51546666666667
,,,,,,,,Standard Error,0.114550181838283,,Standard Error,0.11171637506551
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.59743,,Median,1.51419
,,,,,,,,First Quartile ,1.360005,,First Quartile ,1.3245325
,,,,,,,,Third Quartile,1.80697,,Third Quartile,1.69184
,,,,,,,,Variance,0.091852209114286,,Variance,0.074883290746667
,,,,,,,,Standard Deviation,0.303071293781324,,Standard Deviation,0.273648114823886
,,,,,,,,Kurtosis,-1.46626273524161,,Kurtosis,-1.24269648101965
,,,,,,,,Skewness,-0.082208182971176,,Skewness,0.084089971266159
,,,,,,,,Range,0.80808,,Range,0.72921
,,,,,,,,Minimum,1.16142,,Minimum,1.16142
,,,,,,,,Maximum,1.9695,,Maximum,1.89063
,,,,,,,,Sum,11.0623,,Sum,9.0928
,,,,,,,,Count,7,,Count,6
