Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.178685,0.609769,3.41253,0.0146719,1.40535,95.7857,,,Column 1,,,Column 1
2,0.273837,0.376877,1.37628,0.0980363,1.22934,12.5397,,Mean,16.6213541666667,,Mean,13.1794260869565
4,0.3505,0.361998,1.0328,0.0980363,1.22934,12.5397,,Standard Error,3.44495012754954,,Standard Error,0.150680186571405
10,0.263073,0.343689,1.30644,0.0947828,1.24454,13.1305,,Mode,13.1305,,Mode,13.1305
11,0.276793,0.350884,1.26768,0.0947828,1.24454,13.1305,,Median,13.1305,,Median,13.1305
15,0.277813,0.346573,1.2475,0.086024,1.24454,14.4674,,First Quartile ,12.5397,,First Quartile ,12.5397
17,0.286874,0.347836,1.2125,0.086024,1.24454,14.4674,,Third Quartile,13.1305,,Third Quartile,13.1305
18,0.331461,0.345519,1.04241,0.0947828,1.24454,13.1305,,Variance,284.824353151286,,Variance,0.522203928379447
20,0.313106,0.335231,1.07066,0.0980363,1.22934,12.5397,,Standard Deviation,16.8767400036644,,Standard Deviation,0.722636788697785
21,0.266147,0.344584,1.29471,0.0980363,1.22934,12.5397,,Kurtosis,23.9043438170947,,Kurtosis,0.904466100534142
23,0.194487,0.332115,1.70764,0.0947828,1.24454,13.1305,,Skewness,4.88502688155401,,Skewness,1.32839043138821
27,0.313787,0.341067,1.08694,0.0947828,1.24454,13.1305,,Range,83.246,,Range,2.4318
28,0.314742,0.325536,1.03429,0.0980363,1.22934,12.5397,,Minimum,12.5397,,Minimum,12.5397
29,0.297634,0.3291,1.10572,0.0947828,1.24454,13.1305,,Maximum,95.7857,,Maximum,14.9715
31,0.0290852,0.293303,10.0843,0.086024,1.24454,14.4674,,Sum,398.9125,,Sum,303.1268
34,0.212479,0.321053,1.51098,0.0947828,1.24454,13.1305,,Count,24,,Count,23
36,0.246474,0.315336,1.27939,0.0980363,1.22934,12.5397,,,,,,
37,0.216777,0.31638,1.45947,0.0947828,1.24454,13.1305,,,,,,
38,0.243133,0.278694,1.14626,0.0980363,1.22934,12.5397,,,Column 1,,,Column 1
40,0.177683,0.217634,1.22485,0.0947828,1.24454,13.1305,,Mean,1.79873083333333,,Mean,1.72856565217391
41,0.134545,0.207868,1.54497,0.0947828,1.24454,13.1305,,Standard Error,0.380906936648001,,Standard Error,0.391036303926463
42,0.170632,0.17963,1.05274,0.0980363,1.22934,12.5397,,Mode,#VALUE!,,Mode,#VALUE!
44,0.0531536,0.170789,3.21313,0.086024,1.28791,14.9715,,Median,1.273535,,Median,1.26768
45,0.118502,0.172462,1.45535,0.0947828,1.24454,13.1305,,First Quartile ,1.101025,,First Quartile ,1.09633
,,,,,,,,Third Quartile,1.4723475,,Third Quartile,1.45741
,,,,,,,,Variance,3.48216226527754,,Variance,3.51691599273478
,,,,,,,,Standard Deviation,1.86605526854848,,Standard Deviation,1.87534423313022
,,,,,,,,Kurtosis,18.5757135415523,,Kurtosis,20.1195238720045
,,,,,,,,Skewness,4.17124415566246,,Skewness,4.40468445892791
,,,,,,,,Range,9.0515,,Range,9.0515
,,,,,,,,Minimum,1.0328,,Minimum,1.0328
,,,,,,,,Maximum,10.0843,,Maximum,10.0843
,,,,,,,,Sum,43.16954,,Sum,39.75701
,,,,,,,,Count,24,,Count,23
