Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.29673,0.597398,2.01327,0.0318451,1.3737,43.1369,,,Column 1,,,Column 1
5,0.265751,0.319519,1.20232,0.186535,0.723302,3.87758,,Mean,15.2978266666667,,Mean,9.730012
6,0.173956,0.315058,1.81114,0.0925345,1.27686,13.7988,,Standard Error,5.92819625297199,,Standard Error,2.49287504241669
7,0.245322,0.315526,1.28617,0.0925345,1.27686,13.7988,,Mode,13.7988,,Mode,13.7988
8,0.283883,0.304892,1.074,0.214243,0.723302,3.37608,,Median,13.7988,,Median,13.7988
9,0.188672,0.304522,1.61402,0.0925345,1.27686,13.7988,,First Quartile ,6.357885,,First Quartile ,3.87758
,,,,,,,,Third Quartile,13.7988,,Third Quartile,13.7988
,,,,,,,,Variance,210.861064882507,,Variance,31.07212988552
,,,,,,,,Standard Deviation,14.5210559148606,,Standard Deviation,5.57423805425638
,,,,,,,,Kurtosis,3.79243165607259,,Kurtosis,-3.30637469640066
,,,,,,,,Skewness,1.80099429420148,,Skewness,-0.613196116122949
,,,,,,,,Range,39.76082,,Range,10.42272
,,,,,,,,Minimum,3.37608,,Minimum,3.37608
,,,,,,,,Maximum,43.1369,,Maximum,13.7988
,,,,,,,,Sum,91.78696,,Sum,48.65006
,,,,,,,,Count,6,,Count,5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,1.50015333333333,,Mean,1.39753
,,,,,,,,Standard Error,0.151554969470193,,Standard Error,0.136587116303113
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.450095,,Median,1.28617
,,,,,,,,First Quartile ,1.2232825,,First Quartile ,1.20232
,,,,,,,,Third Quartile,1.76186,,Third Quartile,1.61402
,,,,,,,,Variance,0.137813452626667,,Variance,0.0932802017
,,,,,,,,Standard Deviation,0.371232343185055,,Standard Deviation,0.305418076904429
,,,,,,,,Kurtosis,-1.76129375895126,,Kurtosis,-1.67547657481176
,,,,,,,,Skewness,0.311025094652379,,Skewness,0.558975376410363
,,,,,,,,Range,0.93927,,Range,0.73714
,,,,,,,,Minimum,1.074,,Minimum,1.074
,,,,,,,,Maximum,2.01327,,Maximum,1.81114
,,,,,,,,Sum,9.00092,,Sum,6.98765
,,,,,,,,Count,6,,Count,5
