minPts, Num Clusters
3,111,
4,3,
5,15,
6,11,
7,4,
8,4,
9,4,
10,6,
11,4,
12,4,
13,4,
14,4,
15,4,
16,5,
17,5,
18,5,
19,5,
20,3,
21,3,
22,3,
23,3,
24,3,
25,3,
26,3,
27,3,
28,3,
29,3,
30,3,
