Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.280124,0.546302,1.95021,0.0277734,1.31479,47.3399,,,Column 1,,,Column 1
5,0.254505,0.289434,1.13724,0.116808,0.990586,8.4805,,Mean,22.816885,,Mean,17.912282
6,0.146765,0.287373,1.95805,0.0283804,1.28019,45.1082,,Standard Error,7.48457230044298,,Standard Error,6.92427165118643
7,0.233272,0.285654,1.22455,0.116808,0.923283,7.90431,,Mode,#VALUE!,,Mode,#VALUE!
8,0.181237,0.285206,1.57366,0.0798406,1.10303,13.8154,,Median,14.0342,,Median,13.8154
9,0.185874,0.285046,1.53354,0.0798406,1.13797,14.253,,First Quartile ,9.814225,,First Quartile ,8.4805
,,,,,,,,Third Quartile,37.3944,,Third Quartile,14.253
,,,,,,,,Variance,336.11293512335,,Variance,239.72768949712
,,,,,,,,Standard Deviation,18.3333830790542,,Standard Deviation,15.4831421067276
,,,,,,,,Kurtosis,-1.83697837894292,,Kurtosis,4.2987543302699
,,,,,,,,Skewness,0.886251806048378,,Skewness,2.03806098006971
,,,,,,,,Range,39.43559,,Range,37.20389
,,,,,,,,Minimum,7.90431,,Minimum,7.90431
,,,,,,,,Maximum,47.3399,,Maximum,45.1082
,,,,,,,,Sum,136.90131,,Sum,89.56141
,,,,,,,,Count,6,,Count,5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,1.562875,,Mean,1.485408
,,,,,,,,Standard Error,0.141750661391755,,Standard Error,0.1453897206614
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.5536,,Median,1.53354
,,,,,,,,First Quartile ,1.3017975,,First Quartile ,1.22455
,,,,,,,,Third Quartile,1.8560725,,Third Quartile,1.57366
,,,,,,,,Variance,0.12055950003,,Variance,0.10569085437
,,,,,,,,Standard Deviation,0.347216791111836,,Standard Deviation,0.325101298628597
,,,,,,,,Kurtosis,-1.77974653689532,,Kurtosis,-0.245885059671872
,,,,,,,,Skewness,0.028400828452686,,Skewness,0.562990064754556
,,,,,,,,Range,0.82081,,Range,0.82081
,,,,,,,,Minimum,1.13724,,Minimum,1.13724
,,,,,,,,Maximum,1.95805,,Maximum,1.95805
,,,,,,,,Sum,9.37725,,Sum,7.42704
,,,,,,,,Count,6,,Count,5
